,defteam,play_type,air_yards,yards_after_catch,interception,complete_pass,yards_allowed,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name
281,SEA,pass,5,,0,0,0,00-0039732,B.Nix,00-0036997,J.Williams
282,DEN,pass,-3,5,0,1,2,00-0030565,G.Smith,00-0035644,N.Fant
283,DEN,pass,28,,0,0,0,00-0030565,G.Smith,00-0035640,D.Metcalf
284,SEA,pass,-1,4,0,1,3,00-0039732,B.Nix,00-0038794,J.McLaughlin
285,SEA,pass,-8,6,0,1,-2,00-0039732,B.Nix,00-0038794,J.McLaughlin
286,SEA,pass,3,1,0,1,4,00-0039732,B.Nix,00-0039424,D.Vele
287,DEN,pass,5,4,0,1,9,00-0030565,G.Smith,00-0035644,N.Fant
288,DEN,pass,2,,0,0,0,00-0030565,G.Smith,00-0035644,N.Fant
289,SEA,pass,5,,0,0,0,00-0039732,B.Nix,00-0035406,L.Humphrey
290,DEN,pass,1,8,0,1,9,00-0030565,G.Smith,00-0038543,J.Smith-Njigba
291,DEN,pass,5,5,0,1,10,00-0030565,G.Smith,00-0038543,J.Smith-Njigba
292,DEN,pass,-3,3,0,1,0,00-0030565,G.Smith,00-0036268,L.Shenault
293,DEN,pass,9,,0,0,0,00-0030565,G.Smith,00-0037093,D.Young
294,SEA,pass,2,2,0,1,4,00-0039732,B.Nix,00-0034348,C.Sutton
295,SEA,pass,-4,7,0,1,3,00-0039732,B.Nix,00-0033943,J.Reynolds
296,SEA,pass,25,,0,0,0,00-0039732,B.Nix,00-0034348,C.Sutton
297,SEA,pass,-2,11,0,1,9,00-0039732,B.Nix,00-0039424,D.Vele
298,SEA,pass,0,3,0,1,3,00-0039732,B.Nix,00-0039424,D.Vele
299,SEA,pass,-6,4,0,1,-2,00-0039732,B.Nix,00-0038794,J.McLaughlin
300,SEA,pass,20,,1,0,0,00-0039732,B.Nix,00-0034348,C.Sutton
301,SEA,pass,1,,0,0,0,00-0039732,B.Nix,00-0037252,G.Dulcich
302,SEA,pass,14,,0,0,0,00-0039732,B.Nix,00-0034348,C.Sutton
303,SEA,pass,11,,0,0,0,00-0039732,B.Nix,00-0034348,C.Sutton
304,DEN,pass,10,2,0,1,12,00-0030565,G.Smith,00-0035640,D.Metcalf
305,DEN,pass,17,2,0,1,19,00-0030565,G.Smith,00-0032211,T.Lockett
306,DEN,pass,,,0,0,0,00-0030565,G.Smith,00-0035640,D.Metcalf
307,SEA,pass,12,,0,0,0,00-0039732,B.Nix,00-0033943,J.Reynolds
308,SEA,pass,2,1,0,1,3,00-0039732,B.Nix,00-0031595,M.Burton
309,SEA,pass,-4,4,0,1,0,00-0039732,B.Nix,00-0036997,J.Williams
310,SEA,pass,16,1,0,1,17,00-0039732,B.Nix,00-0034348,C.Sutton
311,SEA,pass,11,,0,0,0,00-0039732,B.Nix,00-0038976,M.Mims
312,SEA,pass,,,0,0,0,00-0039732,B.Nix,,
313,DEN,pass,,,0,0,0,00-0030565,G.Smith,,
314,DEN,pass,-3,1,0,1,-2,00-0030565,G.Smith,00-0038134,K.Walker
315,SEA,pass,16,,0,0,0,00-0039732,B.Nix,00-0033943,J.Reynolds
316,SEA,pass,25,0,0,1,25,00-0039732,B.Nix,00-0033943,J.Reynolds
317,SEA,pass,,,0,0,0,00-0039732,B.Nix,,
318,SEA,pass,5,,0,0,0,00-0039732,B.Nix,00-0036422,A.Trautman
319,SEA,pass,-5,6,0,1,1,00-0039732,B.Nix,00-0038794,J.McLaughlin
320,DEN,pass,16,-3,0,1,13,00-0030565,G.Smith,00-0032211,T.Lockett
