"","full_name","gsis_id"
"557","Rashan Gary","00-0034967"
"558","Darnell Savage","00-0034968"
"559","Irv Smith","00-0034970"
"560","Alexander Mattison","00-0034972"
"561","Maxx Crosby","00-0034973"
"562","Julian Love","00-0034974"
"563","Justice Hill","00-0034975"
"564","Ben Powers","00-0034978"
"565","Foster Moreau","00-0034981"
"566","Dre Greenlaw","00-0034982"
"567","Hunter Renfrow","00-0034983"
"568","E.J. Speed","00-0034987"
"569","Justin Skule","00-0034989"
"570","Ka'dar Hollman","00-0034990"
"571","Armon Watts","00-0034992"
"572","Marcus Epps","00-0034993"
"573","Olisaemeka Udoh","00-0034994"
"574","Ty Summers","00-0034999"
"575","Quinton Bell","00-0035000"
"576","Jackson Barton","00-0035003"
"577","Demetrius Flannigan-Fowles","00-0035020"
"578","Ashton Dulin","00-0035021"
"579","Kevin Givens","00-0035026"
"580","Stephen Carlson","00-0035039"
"581","Jamie Gillan","00-0035042"
"582","D.J. Montgomery","00-0035045"
"583","Sam Mustipher","00-0035062"
"584","Jonathan Harris","00-0035073"
"585","Curtis Bolton","00-0035076"
"586","Yosuah Nijman","00-0035084"
"587","Jake Browning","00-0035100"
"588","Patrick Mekari","00-0035112"
"589","Matt Orzech","00-0035118"
"590","Alec Ingold","00-0035125"
"591","Andre James","00-0035127"
"592","Keisean Nixon","00-0035133"
"593","Mecole Hardman","00-0035140"
"594","Ugochukwu Amadi","00-0035142"
"595","Mack Wilson","00-0035144"
"596","Austin Seibert","00-0035145"
"597","Nick Allegretti","00-0035149"
"598","Kris Boyd","00-0035150"
"599","Jack Fox","00-0035156"
"600","Darius Harris","00-0035157"
"601","Azeez Al-Shaair","00-0035166"
"602","Matthew Wright","00-0035189"
"603","A.J. Cole","00-0035190"
"604","Joey Slye","00-0035192"
"605","Del'Shawn Phillips","00-0035202"
"606","Olamide Zaccheaus","00-0035208"
"607","Deonte Harty","00-0035215"
"608","Diontae Johnson","00-0035216"
"609","P.J. Locke","00-0035227"
"610","Kyler Murray","00-0035228"
"611","T.J. Hockenson","00-0035229"
"612","Ed Oliver","00-0035230"
"613","Christian Wilkins","00-0035231"
"614","Andre Dillard","00-0035233"
"615","Tytus Howard","00-0035234"
"616","Kaleb McGary","00-0035235"
"617","Byron Murphy","00-0035236"
"618","Jawaan Taylor","00-0035237"
"619","Cody Ford","00-0035238"
"620","Sean Murphy-Bunting","00-0035239"
"621","Jahlani Tavai","00-0035240"
"622","Erik McCoy","00-0035242"
"623","Miles Sanders","00-0035243"
"624","Lonnie Johnson","00-0035244"
"625","Max Scharping","00-0035245"
"626","Zach Allen","00-0035248"
"627","Josh Oliver","00-0035249"
"628","Devin Singletary","00-0035250"
"629","Will Grier","00-0035251"
"630","Chauncey Gardner-Johnson","00-0035253"
"631","Anthony Nelson","00-0035254"
"632","Kendall Sheffield","00-0035255"
"633","Hjalte Froholdt","00-0035258"
"634","Tony Pollard","00-0035261"
"635","Drue Tranquill","00-0035262"
"636","Jarrett Stidham","00-0035264"
"637","John Cominsky","00-0035265"
"638","Matt Gay","00-0035269"
"639","Amani Oruwariye","00-0035270"
"640","Andrew Van Ginkel","00-0035272"
"641","Blake Cashman","00-0035276"
"642","Michael Jackson","00-0035277"
"643","Byron Cowart","00-0035278"
"644","Charles Omenihu","00-0035279"
"645","Jake Bailey","00-0035280"
"646","Easton Stick","00-0035282"
"647","Cole Holcomb","00-0035286"
"648","Gardner Minshew","00-0035289"
"649","Trayveon Williams","00-0035291"
"650","Isaiah Prince","00-0035295"
"651","Kelvin Harmon","00-0035297"
"652","Scott Miller","00-0035298"
"653","Dennis Daley","00-0035300"
"654","Donovan Wilson","00-0035301"
"655","Kaden Elliss","00-0035316"
"656","Joshua Miles","00-0035317"
"657","Donald Parham","00-0035329"
"658","Anthony Pittman","00-0035330"
"659","Nik Needham","00-0035346"
"660","Tyrel Dodson","00-0035352"
"661","Blake Hance","00-0035355"
"662","Tyree Jackson","00-0035356"
"663","Cameron Lewis","00-0035357"
"664","Chase McLaughlin","00-0035358"
"665","David Sills","00-0035359"
"666","Joe Giles-Harris","00-0035363"
"667","Andrew Wingard","00-0035378"
"668","Ryan Bates","00-0035382"
"669","Nate Herbig","00-0035383"
"670","Iosua Opeta","00-0035384"
"671","T.J. Edwards","00-0035386"
"672","Stanley Morgan","00-0035399"
"673","Carl Granderson","00-0035402"
"674","Lil'Jordan Humphrey","00-0035406"
"675","Nick Moore","00-0035408"
"676","Shy Tuttle","00-0035409"
"677","Luke Gifford","00-0035413"
"678","Zack Bailey","00-0035468"
"679","Malik Taylor","00-0035480"
"680","Nate Brooks","00-0035485"
"681","Greg Dortch","00-0035500"
"682","Devin Bush","00-0035525"
"683","Elgton Jenkins","00-0035526"
"684","Darius Slayton","00-0035535"
"685","Ty Johnson","00-0035537"
"686","Kemon Hall","00-0035542"
"687","Tom Kennedy","00-0035544"
"688","Joseph Fortson","00-0035547"
"689","Craig Reynolds","00-0035567"
"690","Garrett Bradbury","00-0035588"
"691","Juwann Winfree","00-0035593"
"692","Travis Homer","00-0035594"
"693","Alex Bachman","00-0035602"
"694","Troy Reeder","00-0035617"
"695","Nsimba Webster","00-0035621"
"696","Chandler Brewer","00-0035623"
"697","Juan Thornhill","00-0035625"
"698","D'Ernest Johnson","00-0035628"
"699","Jonah Williams","00-0035629"
"700","Chris Lindstrom","00-0035630"
"701","Drew Sample","00-0035631"
"702","Amani Hooker","00-0035632"
"703","Corey Ballentine","00-0035633"
"704","L.J. Collier","00-0035636"
"705","Rock Ya-Sin","00-0035637"
"706","Parris Campbell","00-0035639"
"707","DK Metcalf","00-0035640"
"708","Josh Hines-Allen","00-0035642"
"709","Jeffery Simmons","00-0035643"
"710","Noah Fant","00-0035644"
"711","Gunner Olszewski","00-0035645"
"712","Montez Sweat","00-0035647"
"713","Will Harris","00-0035655"
"714","Khalen Saunders","00-0035656"
"715","Terry McLaurin","00-0035659"
"716","Marquise Brown","00-0035662"
"717","Taylor Rapp","00-0035663"
"718","David Long","00-0035665"
"719","Greg Gaines","00-0035667"
"720","David Edwards","00-0035668"
"721","Nick Scott","00-0035669"
"722","Cody Barton","00-0035672"
"723","Jerry Tillery","00-0035674"
"724","A.J. Brown","00-0035676"
"725","Dre'Mont Jones","00-0035678"
"726","Connor McGovern","00-0035679"
"727","Quincy Williams","00-0035680"
"728","Mike Edwards","00-0035681"
"729","Dexter Lawrence","00-0035683"
"730","David Montgomery","00-0035685"
"731","Michael Deiter","00-0035686"
"732","Bobby Okereke","00-0035687"
"733","Trey Pipkins","00-0035688"
"734","Dawson Knox","00-0035689"
"735","Clelin Ferrell","00-0035692"
"736","Trayvon Mullen","00-0035695"
"737","Germaine Pratt","00-0035697"
"738","Chuma Edoga","00-0035698"
"739","Jamel Dean","00-0035699"
"740","Josh Jacobs","00-0035700"
"741","Dalton Risner","00-0035702"
"742","Miles Boykin","00-0035703"
"743","Drew Lock","00-0035704"
"744","Jalen Thompson","00-0035705"
"745","Devin White","00-0035707"
"746","Oshane Ximines","00-0035708"
