"","kicker_player_name","kicker_player_id","yardline_100","result"
"778","Y.Koo","00-0033702",23,1
"779","Y.Koo","00-0033702",8,1
"780","B.Grupe","00-0038905",36,1
"781","B.Grupe","00-0038905",18,0
"782","B.Grupe","00-0038905",36,1
"783","M.Wright","00-0035189",7,1
"784","D.Carlson","00-0034161",9,1
"785","D.Carlson","00-0034161",38,0
"786","M.Wright","00-0035189",41,0
"787","M.Wright","00-0035189",23,1
"788","D.Carlson","00-0034161",37,0
"789","M.Wright","00-0035189",17,1
"790","M.Wright","00-0035189",14,1
"791","D.Carlson","00-0034161",40,0
"792","J.Sanders","00-0034794",15,1
"793","B.McManus","00-0029822",27,1
"794","B.McManus","00-0029822",6,1
"795","B.McManus","00-0029822",15,1
"796","B.Aubrey","00-0037692",5,1
"797","B.Aubrey","00-0037692",15,1
"798","G.Gano","00-0026858",28,1
"799","G.Gano","00-0026858",29,1
"800","J.Tucker","00-0029597",16,1
"801","J.Tucker","00-0029597",32,1
"802","J.Tucker","00-0029597",29,0
"803","J.Tucker","00-0029597",35,0
"804","J.Elliott","00-0033787",17,1
"805","C.Boswell","00-0031136",32,1
"806","C.Boswell","00-0031136",16,1
"807","C.Boswell","00-0031136",23,0
