"","receiver_player_name","receiver_player_id","passer_player_name","passer_player_id","complete_pass","air_yards","yards_after_catch","yards_gained_pass","defteam","interception"
"4960","J.Reynolds","00-0033943","B.Nix","00-0039732",0,6,NA,0,"LV",0
"4961",NA,NA,"B.Nix","00-0039732",0,NA,NA,-6,"LV",0
"4962","T.Tucker","00-0038563","G.Minshew","00-0035289",0,30,NA,0,"DEN",0
"4963","J.Meyers","00-0034960","G.Minshew","00-0035289",1,8,2,10,"DEN",0
"4964",NA,NA,"G.Minshew","00-0035289",0,NA,NA,-6,"DEN",0
"4965","L.Humphrey","00-0035406","B.Nix","00-0039732",1,-2,29,27,"LV",0
"4966","J.McLaughlin","00-0038794","B.Nix","00-0039732",1,-9,13,4,"LV",0
"4967","B.Bowers","00-0039338","G.Minshew","00-0035289",1,7,4,11,"DEN",0
"4968",NA,NA,"G.Minshew","00-0035289",0,NA,NA,-3,"DEN",0
"4969","T.Tucker","00-0038563","G.Minshew","00-0035289",0,23,NA,0,"DEN",1
"4970","C.Sutton","00-0034348","B.Nix","00-0039732",1,4,4,8,"LV",0
"4971","N.Adkins","00-0038783","B.Nix","00-0039732",1,5,3,8,"LV",0
"4972","T.Franklin","00-0039868","B.Nix","00-0039732",0,45,NA,0,"LV",0
"4973","B.Bowers","00-0039338","A.O'Connell","00-0038579",1,4,0,4,"DEN",0
"4974","A.Mattison","00-0034972","A.O'Connell","00-0038579",0,7,NA,0,"DEN",0
"4975","J.McLaughlin","00-0038794","B.Nix","00-0039732",1,-5,0,-5,"LV",0
"4976","A.Trautman","00-0036422","B.Nix","00-0039732",1,4,15,19,"LV",0
"4977","B.Bowers","00-0039338","A.O'Connell","00-0038579",0,19,NA,0,"DEN",1
"4978","M.Mims","00-0038976","B.Nix","00-0039732",1,-2,9,7,"LV",0
"4979","C.Sutton","00-0034348","B.Nix","00-0039732",1,23,1,24,"LV",0
"4980","J.Reynolds","00-0033943","B.Nix","00-0039732",1,9,0,9,"LV",0
"4981","B.Bowers","00-0039338","A.O'Connell","00-0038579",1,2,2,4,"DEN",0
"4982","A.Abdullah","00-0032104","A.O'Connell","00-0038579",1,-4,14,10,"DEN",0
"4983","J.Meyers","00-0034960","A.O'Connell","00-0038579",0,6,NA,0,"DEN",0
"4984","J.Meyers","00-0034960","A.O'Connell","00-0038579",1,6,0,6,"DEN",0
"4985","B.Bowers","00-0039338","A.O'Connell","00-0038579",1,6,3,9,"DEN",0
"4986","D.Turner","00-0036527","A.O'Connell","00-0038579",1,5,7,12,"DEN",0
"4987","D.Turner","00-0036527","A.O'Connell","00-0038579",0,25,NA,0,"DEN",0
"4988","J.Meyers","00-0034960","A.O'Connell","00-0038579",1,13,3,16,"DEN",0
"4989","A.Abdullah","00-0032104","A.O'Connell","00-0038579",1,-1,1,0,"DEN",0
"4990","D.Turner","00-0036527","A.O'Connell","00-0038579",0,8,NA,0,"DEN",0
"4991","T.Tucker","00-0038563","A.O'Connell","00-0038579",1,10,2,12,"DEN",0
"4992","T.Tucker","00-0038563","A.O'Connell","00-0038579",0,19,NA,0,"DEN",0
"4993",NA,NA,"A.O'Connell","00-0038579",0,0,NA,0,"DEN",0
"4994","J.Meyers","00-0034960","A.O'Connell","00-0038579",1,21,0,21,"DEN",0
"4995","J.Meyers","00-0034960","A.O'Connell","00-0038579",0,9,NA,0,"DEN",0
"4996","B.Bowers","00-0039338","A.O'Connell","00-0038579",0,4,NA,0,"DEN",0
"4997",NA,NA,"A.O'Connell","00-0038579",0,NA,NA,-7,"DEN",0
"4998","D.Turner","00-0036527","A.O'Connell","00-0038579",0,25,NA,0,"DEN",0
"4999","T.Hill","00-0033040","T.Huntley","00-0035993",1,17,1,18,"NE",0
"5000","J.Smith","00-0033858","T.Huntley","00-0035993",1,6,2,8,"NE",0
"5001",NA,NA,"T.Huntley","00-0035993",0,NA,NA,-7,"NE",0
"5002","J.Smith","00-0033858","T.Huntley","00-0035993",1,8,5,13,"NE",0
"5003",NA,NA,"J.Brissett","00-0033119",0,NA,NA,-3,"MIA",0
"5004",NA,NA,"J.Brissett","00-0033119",0,NA,NA,-9,"MIA",0
"5005","D.Achane","00-0039040","T.Huntley","00-0035993",1,-5,4,-1,"NE",0
"5006","T.Hill","00-0033040","T.Huntley","00-0035993",1,6,0,6,"NE",0
"5007","J.Waddle","00-0036613","T.Huntley","00-0035993",0,14,NA,0,"NE",0
"5008","O.Beckham","00-0031235","T.Huntley","00-0035993",0,9,NA,0,"NE",1
"5009","K.Bourne","00-0033307","J.Brissett","00-0033119",1,-2,8,6,"MIA",0
"5010","R.Stevenson","00-0036875","J.Brissett","00-0033119",1,-6,7,1,"MIA",0
"5011","J.Waddle","00-0036613","T.Huntley","00-0035993",1,19,1,20,"NE",0
"5012","D.Smythe","00-0034798","T.Huntley","00-0035993",0,24,NA,0,"NE",0
"5013","J.Waddle","00-0036613","T.Huntley","00-0035993",0,9,NA,0,"NE",0
"5014",NA,NA,"T.Huntley","00-0035993",0,NA,NA,-3,"NE",0
"5015","A.Hooper","00-0032392","J.Brissett","00-0033119",1,5,4,9,"MIA",0
"5016","J.Polk","00-0039907","J.Brissett","00-0033119",0,22,NA,0,"MIA",0
"5017","T.Hill","00-0033040","T.Huntley","00-0035993",0,-4,NA,0,"NE",0
"5018","T.Hill","00-0033040","T.Huntley","00-0035993",1,-2,6,4,"NE",0
"5019","J.Waddle","00-0036613","T.Huntley","00-0035993",1,2,3,5,"NE",0
"5020","D.Douglas","00-0038621","J.Brissett","00-0033119",1,11,7,18,"MIA",0
"5021","H.Henry","00-0033090","J.Brissett","00-0033119",1,4,3,7,"MIA",0
"5022","R.Stevenson","00-0036875","J.Brissett","00-0033119",1,-5,2,-3,"MIA",0
"5023","J.Smith","00-0033858","T.Huntley","00-0035993",1,13,4,17,"NE",0
"5024","J.Waddle","00-0036613","T.Huntley","00-0035993",1,10,0,10,"NE",0
"5025","J.Smith","00-0033858","T.Huntley","00-0035993",0,27,NA,0,"NE",0
"5026","R.Mostert","00-0031687","T.Huntley","00-0035993",1,6,4,10,"NE",0
"5027","J.Polk","00-0039907","J.Brissett","00-0033119",0,22,NA,0,"MIA",0
"5028",NA,NA,"J.Brissett","00-0033119",0,17,NA,0,"MIA",0
"5029","J.Waddle","00-0036613","T.Huntley","00-0035993",0,6,NA,0,"NE",0
"5030","J.Smith","00-0033858","T.Huntley","00-0035993",1,4,12,16,"NE",0
"5031","J.Smith","00-0033858","T.Huntley","00-0035993",0,3,NA,0,"NE",0
"5032","J.Waddle","00-0036613","T.Huntley","00-0035993",0,12,NA,0,"NE",0
"5033","O.Beckham","00-0031235","T.Huntley","00-0035993",0,28,NA,0,"NE",0
"5034","D.Douglas","00-0038621","J.Brissett","00-0033119",0,3,NA,0,"MIA",0
"5035","D.Douglas","00-0038621","J.Brissett","00-0033119",1,5,0,5,"MIA",0
"5036",NA,NA,"J.Brissett","00-0033119",0,13,NA,0,"MIA",0
"5037","R.Stevenson","00-0036875","J.Brissett","00-0033119",1,-3,9,6,"MIA",0
"5038","D.Douglas","00-0038621","J.Brissett","00-0033119",0,41,NA,0,"MIA",0
"5039","K.Boutte","00-0038608","J.Brissett","00-0033119",1,11,2,13,"MIA",0
"5040","D.Douglas","00-0038621","J.Brissett","00-0033119",0,12,NA,0,"MIA",0
"5041","A.Hooper","00-0032392","J.Brissett","00-0033119",0,7,NA,0,"MIA",0
"5042","R.Mostert","00-0031687","T.Huntley","00-0035993",1,-5,13,8,"NE",0
"5043","T.Hill","00-0033040","T.Huntley","00-0035993",0,14,NA,0,"NE",0
"5044","T.Hill","00-0033040","T.Huntley","00-0035993",0,14,NA,0,"NE",0
"5045","R.Stevenson","00-0036875","J.Brissett","00-0033119",1,-4,3,-1,"MIA",0
"5046","T.Hill","00-0033040","T.Huntley","00-0035993",1,-4,8,4,"NE",0
"5047","T.Hill","00-0033040","T.Huntley","00-0035993",1,16,0,16,"NE",0
"5048",NA,NA,"T.Huntley","00-0035993",0,NA,NA,-5,"NE",0
"5049","J.Waddle","00-0036613","T.Huntley","00-0035993",1,11,0,11,"NE",0
"5050","A.Gibson","00-0036328","J.Brissett","00-0033119",1,-6,10,4,"MIA",0
"5051","D.Douglas","00-0038621","J.Brissett","00-0033119",1,3,2,5,"MIA",0
"5052","J.Polk","00-0039907","J.Brissett","00-0033119",0,6,NA,0,"MIA",0
"5053","J.Polk","00-0039907","J.Brissett","00-0033119",0,13,NA,0,"MIA",0
"5054","T.Hill","00-0033040","T.Huntley","00-0035993",1,19,2,21,"NE",0
"5055","J.Smith","00-0033858","T.Huntley","00-0035993",1,2,6,8,"NE",0
"5056","J.Smith","00-0033858","T.Huntley","00-0035993",0,7,NA,0,"NE",0
"5057","J.Hill","00-0038720","T.Huntley","00-0035993",0,NA,NA,0,"NE",0
"5058","D.Douglas","00-0038621","J.Brissett","00-0033119",1,-5,4,-1,"MIA",0
"5059","J.Polk","00-0039907","J.Brissett","00-0033119",1,13,0,13,"MIA",0
"5060","H.Henry","00-0033090","J.Brissett","00-0033119",0,4,NA,0,"MIA",0
"5061","D.Douglas","00-0038621","J.Brissett","00-0033119",1,6,7,13,"MIA",0
"5062","D.Douglas","00-0038621","J.Brissett","00-0033119",1,9,10,19,"MIA",0
"5063","A.Hooper","00-0032392","J.Brissett","00-0033119",0,12,NA,0,"MIA",0
"5064","J.Polk","00-0039907","J.Brissett","00-0033119",0,12,NA,0,"MIA",0
"5065",NA,NA,"J.Brissett","00-0033119",0,2,NA,0,"MIA",0
"5066","H.Henry","00-0033090","J.Brissett","00-0033119",0,17,NA,0,"MIA",0
"5067","K.Boutte","00-0038608","J.Brissett","00-0033119",1,21,0,21,"MIA",0
"5068","H.Henry","00-0033090","J.Brissett","00-0033119",1,25,0,25,"MIA",0
"5069","J.Johnson","00-0036040","D.Carr","00-0031280",1,5,2,7,"KC",0
"5070","C.Olave","00-0037239","D.Carr","00-0031280",1,4,0,4,"KC",0
