"","rusher_player_name","pos_team","yards_gained"
"12181","J.Cook","BUF",5
"12182","J.Cook","BUF",5
"12183","J.Cook","BUF",2
"12184","J.Cook","BUF",3
"12185","R.Stevenson","NE",8
"12186","R.Stevenson","NE",1
"12187","R.Davis","BUF",8
"12188","R.Davis","BUF",4
"12189","J.Cook","BUF",0
"12190","D.Maye","NE",4
"12191","A.Gibson","NE",9
"12192","A.Gibson","NE",4
"12193","A.Gibson","NE",2
"12194","J.Allen","BUF",12
"12195","J.Cook","BUF",3
"12196","Ty.Johnson","BUF",4
"12197","J.Cook","BUF",8
"12198","J.Cook","BUF",-1
"12199","J.Allen","BUF",7
"12200","R.Stevenson","NE",2
"12201","D.Maye","NE",0
"12202","D.Maye","NE",2
"12203","R.Davis","BUF",0
"12204","R.Davis","BUF",0
"12205","J.Allen","BUF",3
"12206","A.Gibson","NE",4
"12207","A.Gibson","NE",0
"12208","D.Maye","NE",13
"12209","A.Gibson","NE",-3
"12210","Ty.Johnson","BUF",12
"12211","Ty.Johnson","BUF",5
"12212","Ty.Johnson","BUF",4
"12213","Ty.Johnson","BUF",0
"12214","J.Allen","BUF",2
"12215","J.Reed","GB",5
"12216","J.Jacobs","GB",-1
"12217","J.Jacobs","GB",3
"12218","J.Jacobs","GB",7
"12219","J.Jacobs","GB",20
"12220","J.Jacobs","GB",0
"12221","S.Rattler","NO",7
"12222","K.Miller","NO",4
"12223","K.Miller","NO",0
"12224","Ja.Williams","NO",3
"12225","J.Jacobs","GB",4
"12226","T.Kraft","GB",2
"12227","J.Jacobs","GB",3
"12228","Em.Wilson","GB",1
"12229","J.Love","GB",2
"12230","J.Jacobs","GB",3
"12231","J.Jacobs","GB",12
"12232","J.Jacobs","GB",2
"12233","K.Miller","NO",-3
"12234","S.Rattler","NO",2
"12235","C.Watson","GB",9
"12236","Em.Wilson","GB",8
"12237","C.Watson","GB",14
"12238","C.Brooks","GB",1
"12239","Ja.Williams","NO",4
"12240","Ja.Williams","NO",1
"12241","K.Miller","NO",10
"12242","K.Miller","NO",1
"12243","J.Mims","NO",9
"12244","J.Mims","NO",0
"12245","S.Rattler","NO",4
"12246","K.Miller","NO",3
"12247","K.Miller","NO",0
"12248","J.Jacobs","GB",5
"12249","B.Melton","GB",14
"12250","J.Jacobs","GB",9
"12251","J.Jacobs","GB",2
"12252","C.Brooks","GB",8
"12253","C.Brooks","GB",5
"12254","S.Rattler","NO",6
"12255","K.Miller","NO",0
"12256","S.Rattler","NO",9
"12257","J.Mims","NO",-2
"12258","Em.Wilson","GB",17
"12259","Em.Wilson","GB",7
"12260","Em.Wilson","GB",4
"12261","Em.Wilson","GB",3
"12262","Em.Wilson","GB",-2
"12263","C.Brooks","GB",3
"12264","C.Brooks","GB",3
"12265","C.Brooks","GB",3
"12266","Em.Wilson","GB",8
"12267","M.Willis","GB",0
"12268","Em.Wilson","GB",4
"12269","Em.Wilson","GB",1
"12270","Em.Wilson","GB",1
"12271","J.Mims","NO",9
"12272","B.Robinson","ATL",3
"12273","B.Robinson","ATL",10
"12274","R.McCloud","ATL",8
"12275","B.Robinson","ATL",8
"12276","B.Robinson","ATL",6
"12277","M.Penix","ATL",1
"12278","T.Tracy","NYG",4
"12279","T.Tracy","NYG",5
"12280","D.Singletary","NYG",5
"12281","D.Singletary","NYG",4
"12282","T.Tracy","NYG",5
"12283","T.Tracy","NYG",4
"12284","D.Slayton","NYG",6
"12285","B.Robinson","ATL",4
"12286","T.Allgeier","ATL",-1
"12287","M.Penix","ATL",5
"12288","T.Tracy","NYG",1
"12289","T.Tracy","NYG",3
"12290","B.Robinson","ATL",2
"12291","T.Allgeier","ATL",2
"12292","T.Allgeier","ATL",2
"12293","B.Robinson","ATL",9
