"","receiver_player_name","receiver_player_id","passer_player_name","passer_player_id","complete_pass","air_yards","yards_after_catch"
"1942","R.Stevenson","00-0036875","J.Brissett","00-0033119",0,5,NA
"1943","J.Polk","00-0039907","J.Brissett","00-0033119",1,7,0
"1944","H.Henry","00-0033090","J.Brissett","00-0033119",0,2,NA
"1945","K.Osborn","00-0036345","J.Brissett","00-0033119",1,6,1
"1946","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,4,1
"1947","D.Metcalf","00-0035640","G.Smith","00-0030565",1,9,1
"1948","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,4,0
"1949","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",0,33,NA
"1950","Z.Charbonnet","00-0039165","G.Smith","00-0030565",1,-3,10
"1951","T.Lockett","00-0032211","G.Smith","00-0030565",1,13,3
"1952","K.Juszczyk","00-0029892","B.Purdy","00-0037834",1,5,0
"1953","B.Aiyuk","00-0036261","B.Purdy","00-0037834",1,3,-1
"1954","D.Samuel","00-0035719","B.Purdy","00-0037834",0,4,NA
"1955","J.Jefferson","00-0036322","S.Darnold","00-0034869",0,-2,NA
"1956","J.Jefferson","00-0036322","S.Darnold","00-0034869",1,6,1
"1957","J.Jefferson","00-0036322","S.Darnold","00-0034869",0,17,NA
"1958","J.Jefferson","00-0036322","S.Darnold","00-0034869",1,9,4
"1959","A.Jones","00-0033293","S.Darnold","00-0034869",0,7,NA
"1960","G.Kittle","00-0033288","B.Purdy","00-0037834",1,11,14
"1961","J.Jennings","00-0036259","B.Purdy","00-0037834",1,11,1
"1962","J.Jennings","00-0036259","B.Purdy","00-0037834",0,22,NA
"1963","A.Jones","00-0033293","S.Darnold","00-0034869",1,-8,22
"1964","A.Jones","00-0033293","S.Darnold","00-0034869",1,-2,6
"1965","J.Nailor","00-0037291","S.Darnold","00-0034869",0,4,NA
"1966","D.Samuel","00-0035719","B.Purdy","00-0037834",1,-4,5
"1967","G.Kittle","00-0033288","B.Purdy","00-0037834",1,10,0
"1968",NA,NA,"B.Purdy","00-0037834",0,NA,NA
"1969","G.Kittle","00-0033288","B.Purdy","00-0037834",1,-1,12
"1970","J.Jennings","00-0036259","B.Purdy","00-0037834",1,20,5
"1971","B.Aiyuk","00-0036261","B.Purdy","00-0037834",0,4,NA
"1972","G.Kittle","00-0033288","B.Purdy","00-0037834",1,3,0
"1973","J.Jennings","00-0036259","B.Purdy","00-0037834",0,2,NA
"1974","J.Jefferson","00-0036322","S.Darnold","00-0034869",1,49,48
"1975","K.Juszczyk","00-0029892","B.Purdy","00-0037834",0,-1,NA
